Names,Purity,Matrix Type,Measure,Filter band,Normalisation
Psharp_alpha,0.725,P,sharp,alpha,N
Csharp_delta,0.7,C,sharp,delta,N
Psharp_theta,0.7,P,sharp,theta,N
Csharp_all,0.675,C,sharp,all,N
ZCsharp_all,0.675,C,sharp,all,Y
ZCsharp_delta,0.675,C,sharp,delta,Y
ZCcont_all,0.65,C,cont,all,Y
Csharp_theta,0.625,C,sharp,theta,N
ZCsharp_theta,0.625,C,sharp,theta,Y
Cmean_all,0.6,C,mean,all,N
ZCmean_all,0.6,C,mean,all,Y
Pmean_theta,0.6,P,mean,theta,N
ZCcont_theta,0.6,C,cont,theta,Y
Csharp_alpha,0.6,C,sharp,alpha,N
Csharp_beta,0.6,C,sharp,beta,N
ZCsharp_beta,0.6,C,sharp,beta,Y
Psharp_delta,0.575,P,sharp,delta,N
Pcont_delta,0.575,P,cont,delta,N
ZCcont_delta,0.575,C,cont,delta,Y
Pmean_alpha,0.575,P,mean,alpha,N
Cmean_alpha,0.575,C,mean,alpha,N
ZCsharp_alpha,0.575,C,sharp,alpha,Y
Ccont_beta,0.575,C,cont,beta,N
ZCsharp_gamma,0.575,C,sharp,gamma,Y
Ccont_all,0.55,C,cont,all,N
Pmean_delta,0.55,P,mean,delta,N
Cmean_delta,0.55,C,mean,delta,N
ZCmean_delta,0.55,C,mean,delta,Y
Ccont_theta,0.55,C,cont,theta,N
Pmean_gamma,0.55,P,mean,gamma,N
Psharp_gamma,0.55,P,sharp,gamma,N
Ccont_alpha,0.525,C,cont,alpha,N
ZCmean_alpha,0.525,C,mean,alpha,Y
Psharp_beta,0.525,P,sharp,beta,N
Pcont_beta,0.525,P,cont,beta,N
Pcont_gamma,0.525,P,cont,gamma,N
ZPsharp_all,0.5,P,sharp,all,Y
Ccont_delta,0.5,C,cont,delta,N
ZCmean_theta,0.5,C,mean,theta,Y
Pcont_alpha,0.5,P,cont,alpha,N
Pmean_beta,0.5,P,mean,beta,N
Csharp_gamma,0.5,C,sharp,gamma,N
ZCmean_gamma,0.5,C,mean,gamma,Y
Pmean_all,0.475,P,mean,all,N
ZPcont_all,0.475,P,cont,all,Y
ZCcont_alpha,0.475,C,cont,alpha,Y
Psharp_all,0.45,P,sharp,all,N
Pcont_all,0.45,P,cont,all,N
ZPmean_all,0.45,P,mean,all,Y
ZPsharp_delta,0.45,P,sharp,delta,Y
Cmean_theta,0.45,C,mean,theta,N
ZPmean_theta,0.45,P,mean,theta,Y
Cmean_beta,0.45,C,mean,beta,N
ZCmean_beta,0.45,C,mean,beta,Y
ZPmean_gamma,0.45,P,mean,gamma,Y
ZPsharp_gamma,0.45,P,sharp,gamma,Y
ZPcont_gamma,0.45,P,cont,gamma,Y
ZPsharp_theta,0.425,P,sharp,theta,Y
ZPcont_theta,0.425,P,cont,theta,Y
ZPmean_beta,0.425,P,mean,beta,Y
ZPcont_beta,0.425,P,cont,beta,Y
ZCcont_beta,0.425,C,cont,beta,Y
Cmean_gamma,0.425,C,mean,gamma,N
ZPmean_delta,0.4,P,mean,delta,Y
Pcont_theta,0.4,P,cont,theta,N
ZPmean_alpha,0.4,P,mean,alpha,Y
ZPsharp_alpha,0.4,P,sharp,alpha,Y
ZPsharp_beta,0.4,P,sharp,beta,Y
Ccont_gamma,0.4,C,cont,gamma,N
ZCcont_gamma,0.4,C,cont,gamma,Y
ZPcont_delta,0.375,P,cont,delta,Y
ZPcont_alpha,0.375,P,cont,alpha,Y